Testcase Hash,Status,Lp,Lmin,Performance,Input,Output
02fb9d63123fc076176b8bafc16df438,Accepted,21,21,20.0,"0
sin(y+z)+sin(z-y)
","sin((y+z))+sin((z-y))
"
5fa4fe6f648f8e2a4aba6564e454f537,Accepted,12190,12190,20.0,"2
f(x,y,z)=(x+y+z+1)**2
g(x,y,z)=(sin(x)+sin(y)+sin(z)+cos(1))*(cos((1-x))+cos((1-y))+cos((1-z)))
f(g(1,x,0),g(x**2,x**3,x**4),g(-1,0,1))
","16*cos(1)*cos(1)*sin(1)+12*cos(1)*sin(1)+8*cos(1)*sin(1)*cos((1-x))+8*cos(1)*sin(1)*sin(1)+8*cos(1)*sin(1)*sin(x)+8*cos(1)*cos(2)*sin(1)+8*cos(1)*sin(1)*sin(-1)+8*cos(1)*cos(1)*sin(x)+8*cos(1)*cos(1)+8*cos(1)*cos(1)*cos(1)+8*cos(1)*cos(1)*sin(-1)+8*cos(1)*cos(1)*sin(1)*cos((1-x))+8*cos(1)*cos(1)*cos(1)*sin(1)+8*cos(1)*cos(1)*cos(2)*sin(1)+6*sin(1)*sin(x)*cos((1-x))+6*cos(2)*sin(1)*sin(-1)+6*cos(1)*sin(x)+6*cos(1)*sin(x)*cos((1-x))+6*cos(1)*cos(2)*sin(-1)+6*cos(1)*sin(-1)+6*cos(1)*sin(1)*sin(x)*cos((1-x))+6*cos(1)*cos(1)*sin(x)*cos((1-x))+6*cos(1)*cos(2)*sin(1)*sin(-1)+6*cos(1)*cos(1)*cos(2)*sin(-1)+4*sin(1)*sin(1)+4*sin(1)*sin(x)+4*sin(1)*sin(1)*cos((1-x))+4*cos((1-x**2))*sin(1)*sin(x**2)+4*cos((1-x**2))*sin(1)*sin(x**3)+4*cos((1-x**2))*sin(1)*sin(x**4)+4*cos(1)*cos((1-x**2))*sin(1)+4*cos((1-x**3))*sin(1)*sin(x**2)+4*cos((1-x**3))*sin(1)*sin(x**3)+4*cos((1-x**3))*sin(1)*sin(x**4)+4*cos(1)*cos((1-x**3))*sin(1)+4*cos((1-x**4))*sin(1)*sin(x**2)+4*cos((1-x**4))*sin(1)*sin(x**3)+4*cos((1-x**4))*sin(1)*sin(x**4)+4*cos(1)*cos((1-x**4))*sin(1)+4*cos(2)*sin(1)*sin(1)+4*sin(1)*sin(-1)+4*sin(1)+4*cos(1)*sin(x)*sin(-1)+4*cos(1)*cos(1)*cos((1-x))+4*cos(1)*cos((1-x**2))*sin(x**2)+4*cos(1)*cos((1-x**2))*sin(x**3)+4*cos(1)*cos((1-x**2))*sin(x**4)+4*cos(1)*cos(1)*cos((1-x**2))+4*cos(1)*cos((1-x**3))*sin(x**2)+4*cos(1)*cos((1-x**3))*sin(x**3)+4*cos(1)*cos((1-x**3))*sin(x**4)+4*cos(1)*cos(1)*cos((1-x**3))+4*cos(1)*cos((1-x**4))*sin(x**2)+4*cos(1)*cos((1-x**4))*sin(x**3)+4*cos(1)*cos((1-x**4))*sin(x**4)+4*cos(1)*cos(1)*cos((1-x**4))+4*cos(1)*cos(1)*cos(2)+4*cos(1)+4*cos(1)*sin(1)*sin(1)*cos((1-x))+4*cos(1)*cos(2)*sin(1)*cos((1-x))+4*cos(1)*cos(1)*cos(1)*cos((1-x))+4*cos(1)*cos(1)*sin(1)*sin(1)+4*cos(1)*cos(1)*sin(1)*sin(x)+4*cos(1)*cos((1-x**2))*sin(1)*sin(x**2)+4*cos(1)*cos((1-x**2))*sin(1)*sin(x**3)+4*cos(1)*cos((1-x**2))*sin(1)*sin(x**4)+4*cos(1)*cos(1)*cos((1-x**2))*sin(1)+4*cos(1)*cos((1-x**3))*sin(1)*sin(x**2)+4*cos(1)*cos((1-x**3))*sin(1)*sin(x**3)+4*cos(1)*cos((1-x**3))*sin(1)*sin(x**4)+4*cos(1)*cos(1)*cos((1-x**3))*sin(1)+4*cos(1)*cos((1-x**4))*sin(1)*sin(x**2)+4*cos(1)*cos((1-x**4))*sin(1)*sin(x**3)+4*cos(1)*cos((1-x**4))*sin(1)*sin(x**4)+4*cos(1)*cos(1)*cos((1-x**4))*sin(1)+4*cos(1)*cos(2)*sin(1)*sin(1)+4*cos(1)*cos(1)*sin(1)*sin(-1)+4*cos(1)*cos(1)*cos(1)*sin(x)+4*cos(1)*cos(1)*cos(1)*cos(1)+4*cos(1)*cos(1)*cos((1-x**2))*sin(x**2)+4*cos(1)*cos(1)*cos((1-x**2))*sin(x**3)+4*cos(1)*cos(1)*cos((1-x**2))*sin(x**4)+4*cos(1)*cos(1)*cos(1)*cos((1-x**2))+4*cos(1)*cos(1)*cos((1-x**3))*sin(x**2)+4*cos(1)*cos(1)*cos((1-x**3))*sin(x**3)+4*cos(1)*cos(1)*cos((1-x**3))*sin(x**4)+4*cos(1)*cos(1)*cos(1)*cos((1-x**3))+4*cos(1)*cos(1)*cos((1-x**4))*sin(x**2)+4*cos(1)*cos(1)*cos((1-x**4))*sin(x**3)+4*cos(1)*cos(1)*cos((1-x**4))*sin(x**4)+4*cos(1)*cos(1)*cos(1)*cos((1-x**4))+4*cos(1)*cos(1)*cos(1)*cos(2)+4*cos(1)*cos(1)*cos(1)*sin(-1)+4*cos((1-x**2))*cos((1-x**3))*sin(x**2)*sin(x**3)+4*cos((1-x**2))*cos((1-x**3))*sin(x**2)*sin(x**4)+4*cos(1)*cos((1-x**2))*cos((1-x**3))*sin(x**2)+4*cos((1-x**2))*cos((1-x**4))*sin(x**2)*sin(x**3)+4*cos((1-x**2))*cos((1-x**4))*sin(x**2)*sin(x**4)+4*cos(1)*cos((1-x**2))*cos((1-x**4))*sin(x**2)+4*cos((1-x**2))*cos((1-x**3))*sin(x**3)*sin(x**4)+4*cos(1)*cos((1-x**2))*cos((1-x**3))*sin(x**3)+4*cos((1-x**2))*cos((1-x**4))*sin(x**3)*sin(x**4)+4*cos(1)*cos((1-x**2))*cos((1-x**4))*sin(x**3)+4*cos(1)*cos((1-x**2))*cos((1-x**3))*sin(x**4)+4*cos(1)*cos((1-x**2))*cos((1-x**4))*sin(x**4)+4*cos((1-x**3))*cos((1-x**4))*sin(x**2)*sin(x**3)+4*cos((1-x**3))*cos((1-x**4))*sin(x**2)*sin(x**4)+4*cos(1)*cos((1-x**3))*cos((1-x**4))*sin(x**2)+4*cos((1-x**3))*cos((1-x**4))*sin(x**3)*sin(x**4)+4*cos(1)*cos((1-x**3))*cos((1-x**4))*sin(x**3)+4*cos(1)*cos((1-x**3))*cos((1-x**4))*sin(x**4)+2*sin(x)*sin(x)*cos((1-x))+2*cos(1)*sin(x)*sin(x)+2*cos((1-x**2))*sin(x)*sin(x**2)+2*cos((1-x**2))*sin(x)*sin(x**3)+2*cos((1-x**2))*sin(x)*sin(x**4)+2*cos(1)*cos((1-x**2))*sin(x)+2*cos((1-x**3))*sin(x)*sin(x**2)+2*cos((1-x**3))*sin(x)*sin(x**3)+2*cos((1-x**3))*sin(x)*sin(x**4)+2*cos(1)*cos((1-x**3))*sin(x)+2*cos((1-x**4))*sin(x)*sin(x**2)+2*cos((1-x**4))*sin(x)*sin(x**3)+2*cos((1-x**4))*sin(x)*sin(x**4)+2*cos(1)*cos((1-x**4))*sin(x)+2*cos(2)*sin(x)*sin(-1)+2*cos(2)*sin(1)*sin(x)+2*cos(1)*cos(2)*sin(x)+2*sin(x)*sin(-1)+2*sin(x)+2*sin(1)*sin(x)*cos((1-x))*cos((1-x))+2*cos(1)*sin(1)*cos((1-x))*cos((1-x))+2*cos((1-x**2))*sin(1)*cos((1-x))*sin(x**2)+2*cos((1-x**2))*sin(1)*cos((1-x))*sin(x**3)+2*cos((1-x**2))*sin(1)*cos((1-x))*sin(x**4)+2*cos(1)*cos((1-x**2))*sin(1)*cos((1-x))+2*cos((1-x**3))*sin(1)*cos((1-x))*sin(x**2)+2*cos((1-x**3))*sin(1)*cos((1-x))*sin(x**3)+2*cos((1-x**3))*sin(1)*cos((1-x))*sin(x**4)+2*cos(1)*cos((1-x**3))*sin(1)*cos((1-x))+2*cos((1-x**4))*sin(1)*cos((1-x))*sin(x**2)+2*cos((1-x**4))*sin(1)*cos((1-x))*sin(x**3)+2*cos((1-x**4))*sin(1)*cos((1-x))*sin(x**4)+2*cos(1)*cos((1-x**4))*sin(1)*cos((1-x))+2*cos(2)*sin(1)*cos((1-x))*sin(-1)+2*cos(2)*sin(1)*sin(1)*cos((1-x))+2*cos(1)*sin(1)*cos((1-x))*sin(-1)+2*sin(1)*cos((1-x))*sin(-1)+2*sin(1)*cos((1-x))+2*cos(1)*sin(x)*cos((1-x))*cos((1-x))+2*cos(1)*sin(x)*sin(x)*cos((1-x))+2*cos((1-x**2))*sin(x)*cos((1-x))*sin(x**2)+2*cos((1-x**2))*sin(x)*cos((1-x))*sin(x**3)+2*cos((1-x**2))*sin(x)*cos((1-x))*sin(x**4)+2*cos(1)*cos((1-x**2))*sin(x)*cos((1-x))+2*cos((1-x**3))*sin(x)*cos((1-x))*sin(x**2)+2*cos((1-x**3))*sin(x)*cos((1-x))*sin(x**3)+2*cos((1-x**3))*sin(x)*cos((1-x))*sin(x**4)+2*cos(1)*cos((1-x**3))*sin(x)*cos((1-x))+2*cos((1-x**4))*sin(x)*cos((1-x))*sin(x**2)+2*cos((1-x**4))*sin(x)*cos((1-x))*sin(x**3)+2*cos((1-x**4))*sin(x)*cos((1-x))*sin(x**4)+2*cos(1)*cos((1-x**4))*sin(x)*cos((1-x))+2*cos(2)*sin(x)*cos((1-x))*sin(-1)+2*cos(2)*sin(1)*sin(x)*cos((1-x))+2*cos(1)*cos(2)*sin(x)*cos((1-x))+2*cos(1)*sin(x)*cos((1-x))*sin(-1)+2*sin(x)*cos((1-x))*sin(-1)+2*sin(x)*cos((1-x))+2*cos(1)*cos((1-x**2))*cos((1-x))*sin(x**2)+2*cos(1)*cos((1-x**2))*cos((1-x))*sin(x**3)+2*cos(1)*cos((1-x**2))*cos((1-x))*sin(x**4)+2*cos(1)*cos(1)*cos((1-x**2))*cos((1-x))+2*cos(1)*cos((1-x**3))*cos((1-x))*sin(x**2)+2*cos(1)*cos((1-x**3))*cos((1-x))*sin(x**3)+2*cos(1)*cos((1-x**3))*cos((1-x))*sin(x**4)+2*cos(1)*cos(1)*cos((1-x**3))*cos((1-x))+2*cos(1)*cos((1-x**4))*cos((1-x))*sin(x**2)+2*cos(1)*cos((1-x**4))*cos((1-x))*sin(x**3)+2*cos(1)*cos((1-x**4))*cos((1-x))*sin(x**4)+2*cos(1)*cos(1)*cos((1-x**4))*cos((1-x))+2*cos(1)*cos(2)*cos((1-x))*sin(-1)+2*cos(1)*cos(1)*cos(2)*cos((1-x))+2*cos(1)*cos(1)*cos((1-x))*sin(-1)+2*cos(1)*cos((1-x))*sin(-1)+2*cos(1)*cos((1-x))+2*cos(1)*cos((1-x**2))*sin(x)*sin(x**2)+2*cos(1)*cos((1-x**2))*sin(x)*sin(x**3)+2*cos(1)*cos((1-x**2))*sin(x)*sin(x**4)+2*cos(1)*cos(1)*cos((1-x**2))*sin(x)+2*cos(1)*cos((1-x**3))*sin(x)*sin(x**2)+2*cos(1)*cos((1-x**3))*sin(x)*sin(x**3)+2*cos(1)*cos((1-x**3))*sin(x)*sin(x**4)+2*cos(1)*cos(1)*cos((1-x**3))*sin(x)+2*cos(1)*cos((1-x**4))*sin(x)*sin(x**2)+2*cos(1)*cos((1-x**4))*sin(x)*sin(x**3)+2*cos(1)*cos((1-x**4))*sin(x)*sin(x**4)+2*cos(1)*cos(1)*cos((1-x**4))*sin(x)+2*cos(1)*cos(2)*sin(x)*sin(-1)+2*cos(1)*cos(2)*sin(1)*sin(x)+2*cos(1)*cos(1)*cos(2)*sin(x)+2*cos(1)*cos(1)*sin(x)*sin(-1)+2*cos((1-x**2))*cos((1-x**2))*sin(x**2)*sin(x**3)+2*cos((1-x**2))*cos((1-x**2))*sin(x**2)*sin(x**4)+2*cos(1)*cos((1-x**2))*cos((1-x**2))*sin(x**2)+2*cos((1-x**2))*cos((1-x**3))*sin(x**2)*sin(x**2)+2*cos((1-x**2))*cos((1-x**4))*sin(x**2)*sin(x**2)+2*cos(2)*cos((1-x**2))*sin(x**2)*sin(-1)+2*cos(2)*cos((1-x**2))*sin(1)*sin(x**2)+2*cos(1)*cos(2)*cos((1-x**2))*sin(x**2)+2*cos(1)*cos((1-x**2))*sin(x**2)*sin(-1)+2*cos((1-x**2))*sin(x**2)*sin(-1)+2*cos((1-x**2))*sin(x**2)+2*cos((1-x**2))*cos((1-x**2))*sin(x**3)*sin(x**4)+2*cos(1)*cos((1-x**2))*cos((1-x**2))*sin(x**3)+2*cos((1-x**2))*cos((1-x**3))*sin(x**3)*sin(x**3)+2*cos((1-x**2))*cos((1-x**4))*sin(x**3)*sin(x**3)+2*cos(2)*cos((1-x**2))*sin(x**3)*sin(-1)+2*cos(2)*cos((1-x**2))*sin(1)*sin(x**3)+2*cos(1)*cos(2)*cos((1-x**2))*sin(x**3)+2*cos(1)*cos((1-x**2))*sin(x**3)*sin(-1)+2*cos((1-x**2))*sin(x**3)*sin(-1)+2*cos((1-x**2))*sin(x**3)+2*cos(1)*cos((1-x**2))*cos((1-x**2))*sin(x**4)+2*cos((1-x**2))*cos((1-x**3))*sin(x**4)*sin(x**4)+2*cos((1-x**2))*cos((1-x**4))*sin(x**4)*sin(x**4)+2*cos(2)*cos((1-x**2))*sin(x**4)*sin(-1)+2*cos(2)*cos((1-x**2))*sin(1)*sin(x**4)+2*cos(1)*cos(2)*cos((1-x**2))*sin(x**4)+2*cos(1)*cos((1-x**2))*sin(x**4)*sin(-1)+2*cos((1-x**2))*sin(x**4)*sin(-1)+2*cos((1-x**2))*sin(x**4)+2*cos(1)*cos(1)*cos((1-x**2))*cos((1-x**3))+2*cos(1)*cos(1)*cos((1-x**2))*cos((1-x**4))+2*cos(1)*cos(2)*cos((1-x**2))*sin(-1)+2*cos(1)*cos(2)*cos((1-x**2))*sin(1)+2*cos(1)*cos(1)*cos(2)*cos((1-x**2))+2*cos(1)*cos(1)*cos((1-x**2))*sin(-1)+2*cos(1)*cos((1-x**2))*sin(-1)+2*cos(1)*cos((1-x**2))+2*cos((1-x**3))*cos((1-x**3))*sin(x**2)*sin(x**3)+2*cos((1-x**3))*cos((1-x**3))*sin(x**2)*sin(x**4)+2*cos(1)*cos((1-x**3))*cos((1-x**3))*sin(x**2)+2*cos((1-x**3))*cos((1-x**4))*sin(x**2)*sin(x**2)+2*cos(2)*cos((1-x**3))*sin(x**2)*sin(-1)+2*cos(2)*cos((1-x**3))*sin(1)*sin(x**2)+2*cos(1)*cos(2)*cos((1-x**3))*sin(x**2)+2*cos(1)*cos((1-x**3))*sin(x**2)*sin(-1)+2*cos((1-x**3))*sin(x**2)*sin(-1)+2*cos((1-x**3))*sin(x**2)+2*cos((1-x**3))*cos((1-x**3))*sin(x**3)*sin(x**4)+2*cos(1)*cos((1-x**3))*cos((1-x**3))*sin(x**3)+2*cos((1-x**3))*cos((1-x**4))*sin(x**3)*sin(x**3)+2*cos(2)*cos((1-x**3))*sin(x**3)*sin(-1)+2*cos(2)*cos((1-x**3))*sin(1)*sin(x**3)+2*cos(1)*cos(2)*cos((1-x**3))*sin(x**3)+2*cos(1)*cos((1-x**3))*sin(x**3)*sin(-1)+2*cos((1-x**3))*sin(x**3)*sin(-1)+2*cos((1-x**3))*sin(x**3)+2*cos(1)*cos((1-x**3))*cos((1-x**3))*sin(x**4)+2*cos((1-x**3))*cos((1-x**4))*sin(x**4)*sin(x**4)+2*cos(2)*cos((1-x**3))*sin(x**4)*sin(-1)+2*cos(2)*cos((1-x**3))*sin(1)*sin(x**4)+2*cos(1)*cos(2)*cos((1-x**3))*sin(x**4)+2*cos(1)*cos((1-x**3))*sin(x**4)*sin(-1)+2*cos((1-x**3))*sin(x**4)*sin(-1)+2*cos((1-x**3))*sin(x**4)+2*cos(1)*cos(1)*cos((1-x**3))*cos((1-x**4))+2*cos(1)*cos(2)*cos((1-x**3))*sin(-1)+2*cos(1)*cos(2)*cos((1-x**3))*sin(1)+2*cos(1)*cos(1)*cos(2)*cos((1-x**3))+2*cos(1)*cos(1)*cos((1-x**3))*sin(-1)+2*cos(1)*cos((1-x**3))*sin(-1)+2*cos(1)*cos((1-x**3))+2*cos((1-x**4))*cos((1-x**4))*sin(x**2)*sin(x**3)+2*cos((1-x**4))*cos((1-x**4))*sin(x**2)*sin(x**4)+2*cos(1)*cos((1-x**4))*cos((1-x**4))*sin(x**2)+2*cos(2)*cos((1-x**4))*sin(x**2)*sin(-1)+2*cos(2)*cos((1-x**4))*sin(1)*sin(x**2)+2*cos(1)*cos(2)*cos((1-x**4))*sin(x**2)+2*cos(1)*cos((1-x**4))*sin(x**2)*sin(-1)+2*cos((1-x**4))*sin(x**2)*sin(-1)+2*cos((1-x**4))*sin(x**2)+2*cos((1-x**4))*cos((1-x**4))*sin(x**3)*sin(x**4)+2*cos(1)*cos((1-x**4))*cos((1-x**4))*sin(x**3)+2*cos(2)*cos((1-x**4))*sin(x**3)*sin(-1)+2*cos(2)*cos((1-x**4))*sin(1)*sin(x**3)+2*cos(1)*cos(2)*cos((1-x**4))*sin(x**3)+2*cos(1)*cos((1-x**4))*sin(x**3)*sin(-1)+2*cos((1-x**4))*sin(x**3)*sin(-1)+2*cos((1-x**4))*sin(x**3)+2*cos(1)*cos((1-x**4))*cos((1-x**4))*sin(x**4)+2*cos(2)*cos((1-x**4))*sin(x**4)*sin(-1)+2*cos(2)*cos((1-x**4))*sin(1)*sin(x**4)+2*cos(1)*cos(2)*cos((1-x**4))*sin(x**4)+2*cos(1)*cos((1-x**4))*sin(x**4)*sin(-1)+2*cos((1-x**4))*sin(x**4)*sin(-1)+2*cos((1-x**4))*sin(x**4)+2*cos(1)*cos(2)*cos((1-x**4))*sin(-1)+2*cos(1)*cos(2)*cos((1-x**4))*sin(1)+2*cos(1)*cos(1)*cos(2)*cos((1-x**4))+2*cos(1)*cos(1)*cos((1-x**4))*sin(-1)+2*cos(1)*cos((1-x**4))*sin(-1)+2*cos(1)*cos((1-x**4))+2*cos(2)*cos(2)*sin(1)*sin(-1)+2*cos(1)*cos(2)*cos(2)*sin(-1)+2*cos(1)*cos(2)*sin(-1)*sin(-1)+2*cos(2)*sin(-1)*sin(-1)+2*cos(2)*sin(-1)+2*cos(1)*cos(2)*cos(2)*sin(1)+2*cos(2)*sin(1)+2*cos(1)*cos(2)+2*cos(1)*sin(-1)*sin(-1)+2*sin(-1)+sin(x)*sin(x)+sin(1)*sin(1)*cos((1-x))*cos((1-x))+sin(x)*sin(x)*cos((1-x))*cos((1-x))+cos(1)*cos(1)*cos((1-x))*cos((1-x))+cos(1)*cos(1)*sin(x)*sin(x)+cos((1-x**2))*cos((1-x**2))*sin(x**2)*sin(x**2)+cos((1-x**2))*cos((1-x**2))*sin(x**3)*sin(x**3)+cos((1-x**2))*cos((1-x**2))*sin(x**4)*sin(x**4)+cos(1)*cos(1)*cos((1-x**2))*cos((1-x**2))+cos((1-x**3))*cos((1-x**3))*sin(x**2)*sin(x**2)+cos((1-x**3))*cos((1-x**3))*sin(x**3)*sin(x**3)+cos((1-x**3))*cos((1-x**3))*sin(x**4)*sin(x**4)+cos(1)*cos(1)*cos((1-x**3))*cos((1-x**3))+cos((1-x**4))*cos((1-x**4))*sin(x**2)*sin(x**2)+cos((1-x**4))*cos((1-x**4))*sin(x**3)*sin(x**3)+cos((1-x**4))*cos((1-x**4))*sin(x**4)*sin(x**4)+cos(1)*cos(1)*cos((1-x**4))*cos((1-x**4))+cos(2)*cos(2)*sin(-1)*sin(-1)+cos(2)*cos(2)*sin(1)*sin(1)+cos(1)*cos(1)*cos(2)*cos(2)+cos(1)*cos(1)*sin(-1)*sin(-1)+sin(-1)*sin(-1)+1
"
3ba505cea7f7ce498dd794b304618c6e,Accepted,1,1,20.0,"1
h(z,x)=(0*x**8*z**8)**8
cos(sin(h(sin(x),cos(y))))**9
","1
"
236e9769394739a2d8535a784800753e,Accepted,42,42,20.0,"1
g(y)=y**8
--sin(sin(sin(sin(sin(sin((-cos((-x)))))))))
","sin(sin(sin(sin(sin(sin((-cos((-x)))))))))
"
00767d7345fecc731832a1d2e7775d77,Accepted,29,29,20.0,"1
f(x,z)=x*z
f(sin(y),cos(x))+f(sin(x),cos(y))*2
","2*cos(y)*sin(x)+cos(x)*sin(y)
"
5c3323bc15bf6fb262273204591e80a0,Accepted,4,4,20.0,"3
f(x)=0
g(y)=0
h(z)=0
f(z)+g(x)+h(y)+x**2
","x**2
"
4005fa47e7a38e547f1249805c822422,Accepted,10,10,20.0,"1
g(y)=-y
g(cos((-x)))
","-cos((-x))
"
594c8f06759408daba96bf88be1ac062,Accepted,1841,1841,20.0,"1
f(z,y,x)=((sin(x)+sin(y)-sin(z))*(sin(x)+sin(y)-sin(z)))**2
sin(f(x,y,z))**2*(x+y)*2+cos(f(x,y,z))**2*x+cos(f(x,y,z))**2*y*3
","3*y*cos((12*sin(x)*sin(x)*sin(y)*sin(z)+6*sin(y)*sin(y)*sin(z)*sin(z)+6*sin(x)*sin(x)*sin(z)*sin(z)+6*sin(x)*sin(x)*sin(y)*sin(y)+4*sin(y)*sin(z)*sin(z)*sin(z)+4*sin(y)*sin(y)*sin(y)*sin(z)+sin(z)*sin(z)*sin(z)*sin(z)+sin(y)*sin(y)*sin(y)*sin(y)+sin(x)*sin(x)*sin(x)*sin(x)-4*sin(x)*sin(z)*sin(z)*sin(z)-4*sin(x)*sin(x)*sin(x)*sin(z)-4*sin(x)*sin(y)*sin(y)*sin(y)-4*sin(x)*sin(x)*sin(x)*sin(y)-12*sin(x)*sin(y)*sin(z)*sin(z)-12*sin(x)*sin(y)*sin(y)*sin(z)))**2+2*x*sin((12*sin(x)*sin(x)*sin(y)*sin(z)+6*sin(y)*sin(y)*sin(z)*sin(z)+6*sin(x)*sin(x)*sin(z)*sin(z)+6*sin(x)*sin(x)*sin(y)*sin(y)+4*sin(y)*sin(z)*sin(z)*sin(z)+4*sin(y)*sin(y)*sin(y)*sin(z)+sin(z)*sin(z)*sin(z)*sin(z)+sin(y)*sin(y)*sin(y)*sin(y)+sin(x)*sin(x)*sin(x)*sin(x)-4*sin(x)*sin(z)*sin(z)*sin(z)-4*sin(x)*sin(x)*sin(x)*sin(z)-4*sin(x)*sin(y)*sin(y)*sin(y)-4*sin(x)*sin(x)*sin(x)*sin(y)-12*sin(x)*sin(y)*sin(z)*sin(z)-12*sin(x)*sin(y)*sin(y)*sin(z)))**2+2*y*sin((12*sin(x)*sin(x)*sin(y)*sin(z)+6*sin(y)*sin(y)*sin(z)*sin(z)+6*sin(x)*sin(x)*sin(z)*sin(z)+6*sin(x)*sin(x)*sin(y)*sin(y)+4*sin(y)*sin(z)*sin(z)*sin(z)+4*sin(y)*sin(y)*sin(y)*sin(z)+sin(z)*sin(z)*sin(z)*sin(z)+sin(y)*sin(y)*sin(y)*sin(y)+sin(x)*sin(x)*sin(x)*sin(x)-4*sin(x)*sin(z)*sin(z)*sin(z)-4*sin(x)*sin(x)*sin(x)*sin(z)-4*sin(x)*sin(y)*sin(y)*sin(y)-4*sin(x)*sin(x)*sin(x)*sin(y)-12*sin(x)*sin(y)*sin(z)*sin(z)-12*sin(x)*sin(y)*sin(y)*sin(z)))**2+x*cos((12*sin(x)*sin(x)*sin(y)*sin(z)+6*sin(y)*sin(y)*sin(z)*sin(z)+6*sin(x)*sin(x)*sin(z)*sin(z)+6*sin(x)*sin(x)*sin(y)*sin(y)+4*sin(y)*sin(z)*sin(z)*sin(z)+4*sin(y)*sin(y)*sin(y)*sin(z)+sin(z)*sin(z)*sin(z)*sin(z)+sin(y)*sin(y)*sin(y)*sin(y)+sin(x)*sin(x)*sin(x)*sin(x)-4*sin(x)*sin(z)*sin(z)*sin(z)-4*sin(x)*sin(x)*sin(x)*sin(z)-4*sin(x)*sin(y)*sin(y)*sin(y)-4*sin(x)*sin(x)*sin(x)*sin(y)-12*sin(x)*sin(y)*sin(z)*sin(z)-12*sin(x)*sin(y)*sin(y)*sin(z)))**2
"
6f845429528e442c543a6b198d903c83,Accepted,1267,1267,20.0,"3
f(x,y,z)=(x-1)**2+(y+1)**2+(z+1)**2
g(z,x,y)=(x-1)**2+(y+1)**2+(z+1)**2
h(y,z,x)=(x-1)**2+(y+1)**2+(z+1)**2
f(g(sin(x),cos(x),y),h(sin(y),cos(x),z),f(99999,(x+y+z),(y**6)))
","99992000299994400069+39998400036*y+39998400036*x*y+39998400036*x*z+39998400036*y*z+39998400028*x+39998400028*y**6+39998400012*z+19999200030*z**2+19999200026*y**2+19999200018*x**2+19999200018*y**12+24*x*y*z+20*cos(x)*cos(x)+16*sin(y)+12*sin(y)*sin(y)+12*x**2*y*z+12*x**2*y+12*x**2*z+12*x*y**2*z+12*x*y**2+12*x*y*z**2+12*x*z**2+12*y**2*z+12*y*z**2+8*cos(x)+8*sin(x)*sin(x)+8*sin(x)+8*y**3+8*y*sin(x)+8*cos(x)*sin(y)+8*x*y**7+8*x*y**6*z+8*x*y**6+8*y**7*z+8*y**7+8*y**6*z+6*x**2*y**2+6*x**2*z**2+6*y**2*z**2+4*y*cos(x)*cos(x)+4*cos(x)*cos(x)*sin(x)+4*y**2*sin(x)+4*y*sin(x)*sin(x)+4*sin(x)*sin(x)*sin(x)+4*z**2*sin(y)+4*z**2*cos(x)+4*sin(y)*sin(y)*sin(y)+4*cos(x)*sin(y)*sin(y)+4*cos(x)*cos(x)*sin(y)+4*x**3*y+4*x**3*z+4*x**3+4*x**2*y**6+4*x*y**3+4*x*y**13+4*x*z**3+4*x*y**12*z+4*x*y**12+4*y**3*z+4*y**8+4*y*z**3+4*y**13*z+4*y**13+4*y**6*z**2+4*y**12*z+4*y**18+2*cos(x)*cos(x)*cos(x)*cos(x)+2*y**2*cos(x)*cos(x)+2*cos(x)*cos(x)*sin(x)*sin(x)+2*y**4+2*y**2*sin(x)*sin(x)+2*z**4+2*z**2*sin(y)*sin(y)+2*z**2*cos(x)*cos(x)+2*cos(x)*cos(x)*sin(y)*sin(y)+2*x**2*y**12+2*y**14+2*y**12*z**2+sin(x)*sin(x)*sin(x)*sin(x)+sin(y)*sin(y)*sin(y)*sin(y)+x**4+y**24-4*y**2*cos(x)-4*cos(x)*sin(x)*sin(x)-4*z*sin(y)*sin(y)-4*z*cos(x)*cos(x)-8*y*cos(x)-8*cos(x)*sin(x)-8*z*sin(y)-8*z*cos(x)
"
e02c644763a08b6ceba726c6d6a0b378,Accepted,20,20,20.0,"0
4*sin(x)**3-4*sin(x)
","4*sin(x)**3-4*sin(x)
"
